ORD;DRG;RTC;ICD;MDC;PDGPROP;OR;PROCPRO1;DGCAT1;AGELIM;COMPL;SEX;DGPROP1;DGPROP2;DGPROP3;DGPROP4;SECPROC1;DISCH;DUR;LOC_DRG
108D28100;H16O;0;+;08;;S;08S13;;;;;;;;;;N;<1;230O
108D28101;H16O;0;+;08;;;08S91;;;;;;;;;;N;<1;230O
108D28300;H41O;0;+;08;;S;08S11;;;;;;;;;;N;<1;231O
108D30000;H45O;0;+;08;;S;08S19;;;;;;;;;;N;<1;232O
108D30001;D19O;0;+;08;;S;04S02;;;;;;;;;;N;<1;077O
109D0300;J20O;0;+;09;;S;09S02;;;;;;;;;;N;<1;268O
109D0401;J04O;0;+;09;;S;09S01;;;;;;;;;;N;<1;266O
109D1200;J10O;0;+;09;;S;09S06;;;;;;;;;;N;<1;267O
109D1201;J10O;0;+;09;;;09S20;;;;;09X06;;;;;N;<1;267O
109D1301;J39O;0;+;09;;S;09S07;;;;;;;;;;N;<1;270O
109D1302;J39O;0;+;09;;S;09S08;;;;;;;;;;N;<1;270O
109D50000;K03O;0;+;30;;S;30S03;;;;;30X01;;;;30S11;N;<1;501O
109D50010;K03O;0;+;30;;S;30S11;;;;;;;;;;N;<1;501O
109D50110;K02O;0;+;30;;S;30S03;;;;;30X01;;;;;N;<1;258O
109D50201;K04O;0;+;30;;S;30S04;;;;;30X01;;;;;N;<1;260O
109D50202;K04O;0;+;30;;S;30S05;;;;;30X01;;;;;N;<1;260O
109D50230;K10O;0;+;30;;S;30S03;;;;;;;;;;N;<1;261O
109D50231;K10O;0;+;30;;S;30S04;;;;;;;;;;N;<1;261O
109D50232;K10O;0;+;;30P01;S;30S03;;;;;;;;;;N;<1;261O
109D5110;K11O;0;+;30;;S;30S05;;;;;;;;;;N;<1;262O
109D51200;K19O;0;+;30;;S;30S99;;;;;;;;;;N;<1;509O
110D010;L01O;0;+;10;;S;10S01;;;;;;;;;;N;<1;285O
110D0210;L05O;0;+;10;;S;10S02;;;;;;;;;;N;<1;286O
110D0211;L05O;0;+;10;;S;10S09;;;;;10X02;;;;;N;<1;286O
110D04000;L08O;0;+;10;;S;10S20;;;;;;;;;;N;<1;288O
110D04001;L10O;0;+;10;;S;10S04;;;;;;;;;;N;<1;288P
110D0510;L20O;0;+;10;;S;10S05;;;;;;;;;;N;<1;289O
110D0520;L20O;0;+;;10P01;S;10S05;;;;;;;;;;N;<1;289O
110D060;L25O;0;+;10;;S;10S06;;;;;;;;;;N;<1;290O
110D08100;L39O;0;+;10;;S;10S08;;;;;;;;;;N;<1;293O
110D0910;N12O;0;+;10;;S;12S03;;;;M;10X01;;;;;N;<1;340O
110D09800;F74O;0;+;10;;P;17E10;;;;;;;;;17E11;N;<1;720O
110D09810;F71O;0;+;10;;P;17E10;;;;;;;;;;N;<1;710O
110D09820;F72O;0;+;10;;P;17E11;;;;;;;;;;N;<1;711O
110D09821;F73O;0;+;10;;P;06E12;;;;;;;;;;N;<1;712O
111D030;M07O;0;+;11;;S;11S02;;;;;;;;;;N;<1;305O
111D050;M10O;0;+;11;;S;11S03;;;;;;;;;;N;<1;309O
111D090;M15O;0;+;11;;S;11S05;;;;;;;;;;N;<1;311O
111D1110;M20O;0;+;11;;S;11S06;;;;;;;;;;N;<1;314O
111D1400;M29O;0;+;11;;S;11S07;;;;;;;;;-11S09;N;<1;315O
111D14000;M29O;0;+;;11P01;S;11S07;;;;;;;;;-11S09;N;<1;315O
111D1401;M29O;0;+;11;;S;11S90;;;;;11X01;;;;;N;<1;315O
111D1500;M32P;0;+;11;;;;11M02;;;;;;;;99V02;N;<1;317P
111D1501;M32P;0;+;11;;;11S09;;;;;;;;;99V02;N;<1;317P
111D151;M32Q;0;+;11;;;;11M02;;;;;;;;;N;<1;317O
111D152;M32Q;0;+;11;;;11S09;;;;;;;;;;N;<1;317O
111D1601;M70O;0;+;11;;P;11E16;;;;;;;;;;N;<1;716O
111D1602;M71O;0;+;11;;P;11E17;;;;;;;;;;N;<1;717O
111D1603;M72O;0;+;11;;P;11E18;;;;;;;;;;N;<1;718O
111D1610;F73O;0;+;11;;P;06E12;;;;;11X01;;;;;N;<1;712O
111D1690;M46O;0;+;11;;;11S08;;;;;;;;;;N;<1;323O
111D16960;N01O;0;+;11;;S;12S01;;;;M;;;;;;N;<1;335O
111D16970;N05O;0;+;11;;S;12S04;;;;M;;;;;;N;<1;337O
112D010;N01O;0;+;12;;S;12S01;;;;M;;;;;;N;<1;335O
112D030;N15O;0;+;12;;S;12S02;;;;M;;;;;;N;<1;341O
408D01111;H00N;0;+;08;;S;08S82;;;;;99X04;;;;;;;
400D51323;U59N;0;+;;00P21;S;21S09;;;;;24X30;24X71;21X01;;;;;486X
400D51324;U59N;0;+;;00P21;S;21S09;;;;;24X30;24X72;21X03;;;;;486X
400D51325;U59N;0;+;;00P21;S;21S09;;;;;24X30;24X80;;;;;;486X
400D51326;U59N;0;+;;00P21;S;21S09;;;;;24X30;24X81;21X02;;;;;486X
400D51327;U59N;0;+;;00P21;S;21S09;;;;;24X40;24X50;;;;;;486X
400D51328;U59N;0;+;;00P21;S;21S09;;;;;24X40;24X60;;;;;;486X
400D51329;U59N;0;+;;00P21;S;21S09;;;;;24X40;24X70;;;;;;486X
400D51330;U59N;0;+;;00P21;S;21S09;;;;;24X40;24X71;21X01;;;;;486X
400D51331;U59N;0;+;;00P21;S;21S09;;;;;24X40;24X72;21X03;;;;;486X
400D51332;U59N;0;+;;00P21;S;21S09;;;;;24X40;24X80;;;;;;486X
400D51333;U59N;0;+;;00P21;S;21S09;;;;;24X40;24X81;21X02;;;;;486X
400D51334;U59N;0;+;;00P21;S;21S09;;;;;24X50;24X60;;;;;;486X
400D51335;U59N;0;+;;00P21;S;21S09;;;;;24X50;24X70;;;;;;486X
400D51336;U59N;0;+;;00P21;S;21S09;;;;;24X50;24X71;21X01;;;;;486X
400D51337;U59N;0;+;;00P21;S;21S09;;;;;24X50;24X72;21X03;;;;;486X
400D51338;U59N;0;+;;00P21;S;21S09;;;;;24X50;24X80;;;;;;486X
400D51339;U59N;0;+;;00P21;S;21S09;;;;;24X50;24X81;21X02;;;;;486X
400D51340;U59N;0;+;;00P21;S;21S09;;;;;24X60;24X70;;;;;;486X
400D51341;U59N;0;+;;00P21;S;21S09;;;;;24X60;24X71;21X01;;;;;486X
400D51342;U59N;0;+;;00P21;S;21S09;;;;;24X60;24X72;21X03;;;;;486X
400D51343;U59N;0;+;;00P21;S;21S09;;;;;24X60;24X80;;;;;;486X
400D51344;U59N;0;+;;00P21;S;21S09;;;;;24X60;24X81;21X02;;;;;486X
400D51345;U59N;0;+;;00P21;S;21S09;;;;;24X70;24X80;;;;;;486X
400D51346;U59N;0;+;;00P21;S;21S09;;;;;24X71;21X01;24X80;;;;;486X
400D51347;U59N;0;+;;00P21;S;21S09;;;;;24X72;21X03;24X80;;;;;486X
400D51348;U59N;0;+;;00P21;S;21S09;;;;;24X70;24X81;21X02;;;;;486X
400D51349;U59N;0;+;;00P21;S;21S09;;;;;24X71;21X01;24X81;21X02;;;;486X
400D51350;U59N;0;+;;00P21;S;21S09;;;;;24X72;21X03;24X81;21X02;;;;486X
400D51351;U59N;0;+;;00P21;S;21S09;;;;;24X90;;;;;;;486X
112D0620;N12O;0;+;12;;S;12S03;;;;M;;;;;;N;<1;340O
112D0800;N05O;0;+;12;;S;12S04;;;;M;;;;;;N;<1;337O
112D0910;N20O;0;+;12;;S;12S05;;;;M;;;;;;N;<1;343O
112D1100;N32O;0;+;12;;S;12S08;12M01;;;M;;;;;;N;<1;345O
112D1101;N32O;0;+;12;;S;12S07;12M01;;;M;;;;;;N;<1;345O
112D1120;N32O;0;+;12;;S;12S08;;;;M;;;;;;N;<1;345O
112D1212;M70O;0;+;12;;P;12E16;;;;M;;;;;;N;<1;716O
112D1252;M72O;0;+;12;;P;12E18;;;;M;;;;;;N;<1;718O
112D12800;N21O;0;+;12;;;12S07;;;;M;;;;;;N;<1;351O
112D12804;M20O;0;+;12;;S;11S06;;;;M;;;;;;N;<1;314O
113D010;O01O;0;+;13;;S;13S01;;;;F;;;;;;N;<1;353O
113D020;O10O;0;+;13;13P01;P;13S02;;;;F;;;;;;N;<1;357O
113D030;O02O;0;+;13;13P02;P;13S02;;;;F;;;;;;N;<1;355O
113D050;O15O;0;+;13;;P;13S02;;;;F;;;;;;N;<1;359O
113D070;O05O;0;+;13;;S;13S05;;;;F;;;;;;N;<1;356O
113D080;O25O;0;+;13;;S;13S03;;;;F;;;;;;N;<1;361O
113D100;O29O;0;+;13;;S;13S06;;;;F;;;;;;N;<1;364O
113D101;O20O;0;+;13;;S;13S04;;;;F;;;;;;N;<1;360O
113D120;O27O;0;+;13;;S;13S07;;;;F;;;;;;N;<1;362O
113D1300;O39O;0;+;13;;S;13S08;;;;F;;;;;;N;<1;365O
113D1310;O70O;0;+;13;;P;13E19;;;;F;;;;;;N;<1;719O
113D1311;M72O;0;+;13;;P;13E18;;;;F;;;;;;N;<1;718O
114D03900;P11O;0;+;14;;S;;;;;F;;;;;;N;<1;377O
114D03990;F72O;0;+;14;;P;14E11;;;;F;;;;;;N;<1;711O
114D03991;O70O;0;+;14;;P;14E19;;;;F;;;;;;N;<1;719O
116D0110;R01O;0;+;16;;S;16S01;;;;;;;;;;N;<1;393O
116D030;R05O;0;+;16;;S;16S02;;;;;;;;;;N;<1;394O
116D0410;F74O;0;+;16;;P;17E10;;;;;;;;;17E11;N;<1;720O
116D0411;F71O;0;+;16;;P;17E10;;;;;;;;;;N;<1;710O
116D0412;F72O;0;+;16;;P;17E11;;;;;;;;;;N;<1;711O
117D0110;R28O;0;+;17;;S;17S01;17M01;;;;;;;;;N;<1;402O
117D02000;R28O;0;+;17;;S;;17M02;;;;;;;;;N;<1;402O
117D02100;R35O;0;+;17;;S;17S01;17M05;;;;;;;;;N;<1;407O
117D02101;R35O;0;+;17;;S;17S01;17M06;;;;;;;;;N;<1;407O
117D02200;R36O;0;+;17;;S;;17M05;;;;;;;;;N;<1;408O
117D02201;R36O;0;+;17;;S;;17M06;;;;;;;;;N;<1;408O
117D022999;A16O;0;+;17;;S;01S50;;;;;;;;;;N;<1;003P
117D02400;R50O;0;+;17;;;;17M11;;;;17X01;;;;;N;<1;492O
117D02500;R51O;0;+;17;;;;17M11;;;;;;;;;N;<1;410O
117D02601;G70O;0;+;17;;P;17E13;;;;;;;;;;N;<1;713O
117D02603;M70O;0;+;17;;P;17E16;;;;;;;;;;N;<1;716O
117D02604;G71O;0;+;17;;P;17E14;;;;;;;;;;N;<1;714O
117D02605;F66O;0;+;17;;P;17E04;;;;;;;;;;N;<1;704O
117D02606;F67O;0;+;17;;P;17E06;;;;;;;;;;N;<1;706O
117D02608;F69O;0;+;17;;P;17E07;;;;;;;;;;N;<1;707O
117D02610;G72O;0;+;17;;P;17E15;;;;;;;;;;N;<1;715O
117D02611;D70O;0;+;17;;P;17E02;;;;;;;;;;N;<1;702O
117D02612;M71O;0;+;17;;P;17E17;;;;;;;;;;N;<1;717O
117D02613;F70O;0;+;17;;P;17E09;;;;;;;;;;N;<1;709O
117D02614;F74O;0;+;17;;P;17E10;;;;;;;;;17E11;N;<1;720O
117D02615;F71O;0;+;17;;P;17E10;;;;;;;;;;N;<1;710O
117D02616;F72O;0;+;17;;P;17E11;;;;;;;;;;N;<1;711O
117D02617;C70O;0;+;17;;P;17E01;;;;;;;;;;N;<1;701O
117D02618;M72O;0;+;17;;P;17E18;;;;;;;;;;N;<1;718O
117D02619;F73O;0;+;17;;P;17E12;;;;;;;;;;N;<1;712O
117D02620;O70O;0;+;17;;P;17E19;;;;;;;;;;N;<1;719O
118D0000;S01O;0;+;18;;S;;;;;;;;;;;N;<1;415O
119D00000;T01O;0;+;19;;S;;;;;;;;;;;N;<1;424O
121D00000;U09O;0;+;21;;S;99S90;;;;;21X05;;;;;N;<1;442O
121D00200;U01O;0;+;21;;S;21S02;;;;;;;;;;N;<1;439O
121D00300;U05O;0;+;21;;S;21S03;;;;;;;;;;N;<1;441O
121D00401;U19O;0;+;21;;S;21S04;;;;;;;;;;N;<1;443O
121D00402;U19O;0;+;21;;S;21S05;;;;;;;;;;N;<1;443O
121D00403;U19O;0;+;21;;S;21S09;;;;;;;;;;N;<1;443O
121D00404;U19O;0;+;21;;S;21S20;;;;;21X08;;;;;N;<1;443O
121D00405;U19O;0;+;21;;S;;;;;;21X05;;;;;N;<1;443O
121D00501;F65O;0;+;21;;P;21E03;;;;;;;;;;N;<1;703O
121D00502;G71O;0;+;21;;P;21E14;;;;;;;;;;N;<1;714O
121D00503;M70O;0;+;21;;P;21E16;;;;;;;;;;N;<1;716O
121D00504;F67O;0;+;21;;P;21E06;;;;;;;;;;N;<1;706O
121D005070;D70O;0;+;21;;P;21E02;;;;;;;;;;N;<1;702O
121D005075;F71O;0;+;21;;P;21E10;;;;;;;;;;N;<1;710O
121D00508;M71O;0;+;21;;P;21E17;;;;;;;;;;N;<1;717O
121D00510;F72O;0;+;21;;P;21E11;;;;;;;;;;N;<1;711O
121D00511;M72O;0;+;21;;P;21E18;;;;;;;;;;N;<1;718O
122D02101;V01O;0;+;22;;S;22S01;;;;;22X01;;;;;N;<1;472O
122D02102;V01O;0;+;22;;S;22S01;;;;;22X02;22X10;;;;N;<1;472O
122D02103;V01O;0;+;22;;S;22S01;;;;;22X02;22X03;;;;N;<1;472O
122D02104;V01O;0;+;22;;S;22S01;;;;;22X02;22X04;;;;N;<1;472O
122D02105;V01O;0;+;22;;S;22S01;;;;;22X02;22X05;;;;N;<1;472O
122D02106;V01O;0;+;22;;S;22S01;;;;;22X03;22X10;;;;N;<1;472O
122D02107;V01O;0;+;22;;S;22S01;;;;;22X03;22X04;;;;N;<1;472O
122D02108;V01O;0;+;22;;S;22S01;;;;;22X03;22X05;;;;N;<1;472O
122D02109;V01O;0;+;22;;S;22S01;;;;;22X04;22X10;;;;N;<1;472O
122D02110;V01O;0;+;22;;S;22S01;;;;;22X04;22X05;;;;N;<1;472O
122D02111;V01O;0;+;22;;S;22S01;;;;;22X05;22X10;;;;N;<1;472O
122D02201;V01O;0;+;22;;S;22S02;;;;;22X01;;;;;N;<1;472O
122D02202;V01O;0;+;22;;S;22S02;;;;;22X02;22X10;;;;N;<1;472O
122D02203;V01O;0;+;22;;S;22S02;;;;;22X02;22X03;;;;N;<1;472O
122D02204;V01O;0;+;22;;S;22S02;;;;;22X02;22X04;;;;N;<1;472O
122D02205;V01O;0;+;22;;S;22S02;;;;;22X02;22X05;;;;N;<1;472O
122D02206;V01O;0;+;22;;S;22S02;;;;;22X03;22X10;;;;N;<1;472O
122D02207;V01O;0;+;22;;S;22S02;;;;;22X03;22X04;;;;N;<1;472O
122D02208;V01O;0;+;22;;S;22S02;;;;;22X03;22X05;;;;N;<1;472O
122D02209;V01O;0;+;22;;S;22S02;;;;;22X04;22X10;;;;N;<1;472O
122D02210;V01O;0;+;22;;S;22S02;;;;;22X04;22X05;;;;N;<1;472O
122D02211;V01O;0;+;22;;S;22S02;;;;;22X05;22X10;;;;N;<1;472O
122D02500;V20O;0;+;22;;S;22S01;;;;;;;;;;N;<1;458O
122D02510;V21O;0;+;22;;S;22S02;;;;;;;;;;N;<1;459O
122D02520;F65O;0;+;22;;P;22E03;;;;;;;;;;N;<1;703O
122D02521;F67O;0;+;22;;P;22E06;;;;;;;;;;N;<1;706O
122D02522;F72O;0;+;22;;P;22E11;;;;;;;;;;N;<1;711O
123D00010;W09O;0;+;23;;S;;;;;;;;;;;N;<1;461O
123D00021;F74O;0;+;23;;P;17E10;;;;;;;;;17E11;N;<1;720O
123D00022;F71O;0;+;23;;P;17E10;;;;;;;;;;N;<1;710O
123D00023;F72O;0;+;23;;P;17E11;;;;;;;;;;N;<1;711O
123D00024;M72O;0;+;23;;P;17E18;;;;;;;;;;N;<1;718O
123D01000;W63O;0;+;23;;;;23M01;;;;;;;;;N;<1;462O
190D0099;A20O;0;+;;;S;01S51;;;;;;;;;;N;<1;570O
190D0100;A35O;0;+;;;S;01S21;;;;;01X21;;;;;N;<1;008O
190D02010;B09O;0;+;;;S;02S01;;;;;08X30;;;;;N;<1;037O
190D02030;B15O;0;+;;;S;02S03;;;;;08X30;;;;;N;<1;041O
190D03000;C50O;0;+;;;S;03S05;;;;;08X30;;;;;N;<1;169O
190D03005;C29O;0;+;;;S;03S12;;;;;08X30;;;;;N;<1;063O
190D03043;C18O;0;+;;;S;03S07;;;;;08X30;;;;;N;<1;056O
200D030;X02O;0;;;;;40V02;;;;;;;;;;N;<1;888W
200D031;R77O;0;;;;;16V03;;;;;;;;;;N;<1;861V
200D032;X15O;0;;;;;40V48;;;;;;;;;;N;<1;873V
200D033;X41O;0;;;;;40V50;;;;;;;;;;N;<1;891V
200D03410;A76O;0;;;;;01V09;;;;;90X11;;;;;N;<1;751W
200D03415;X21O;0;;;;;40V53;;;;;90X11;;;;;N;<1;910W
200D0342;X20O;0;;;;;40V52;;;;;;;;;;N;<1;910V
200D0343;X22O;0;;;;;40V51;;;;;;;;;;N;<1;930V
200D03435;A77O;0;;;;;01V02;;;;;90X11;;;;;N;<1;751V
200D0345;X23O;0;;;;;40V54;;;;;90X11;;;;;N;<1;931V
200D0349;A80O;0;;;;;01V05;;;;;;;;;;N;<1;754V
200D035;A78O;0;;;;;01V03;;;;;;;;;;N;<1;752V
200D036;A79O;0;;;;;01V04;;;;;;;;;;N;<1;753V
200D037;D76O;0;;;;;04V02;;;;;;;;;;N;<1;778V
200D038;E87O;0;;;;;05V13;;;;;;;;;;N;<1;794V
200D040;N75O;0;;;;;12V02;;;;;;;;;;N;<1;843V
200D041;R86O;0;;;;;17V07;;;;;;;;;;N;<1;870V
200D042;X46O;0;;;;;40V08;;;;;;;;;;N;<1;895V
200D045;H75O;0;;;;;08V02;;;;;;;;;;N;<1;807V
200D046;E86O;0;;;;;05V12;;;;;;;;;;N;<1;793V
200D047;H77O;0;;;;;08V04;;;;;;;;;;N;<1;809V
200D048;L77O;0;;;;;10V02;;;;;;;;;;N;<1;831V
200D050;X51O;0;;;;;40V11;;;;;;;;;;N;<1;898V
200D053;R78O;0;;;;;16V04;;;;;;;;;;N;<1;862V
200D054;E82O;0;;;;;05V08;;;;;;;;;;N;<1;789V
200D055;H78O;0;;;;;08V05;;;;;;;;;;N;<1;810V
200D056;K75O;0;;;;;30V01;;;;;;;;;;N;<1;886V
200D057;X33O;0;;;;;40V06;;;;;;;;;;N;<1;892V
200D060;B75O;0;;;;;02V01;;;;;;;;;;N;<1;759V
200D0620;E78O;0;;;;;05V04;;;;;;;;;;N;<1;785V
200D0629;F78O;0;;;;;07V02;;;;;;;;;;N;<1;799W
200D063;F77O;0;;;;;06V03;;;;;;;;;;N;<1;799V
200D064;L76O;0;;;;;10V01;;;;;;;;;;N;<1;830V
200D065;L79O;0;;;;;10V04;;;;;;;;;;N;<1;833V
200D067000;R99X;0;+;17;;;99V22;;;;;;;;;99V35;N;<1;874W
200D067001;R99X;0;+;23;;;99V22;23M04;;;;17X99;;;;99V35;N;<1;874W
200D067100;R99O;0;+;17;;;99V20;;;;;;;;;99V35;N;<1;874V
200D067101;R99O;0;+;23;;;99V20;23M04;;;;17X99;;;;99V35;N;<1;874V
200D067105;R99Z;0;+;17;;;40V42;;;;;;;;;99V35;N;<1;874T
200D068;A83O;0;;;;;01V08;;;;;;;;;;N;<1;757V
200D070;F76O;0;;;;;06V02;;;;;;;;;;N;<1;798V
200D0710;G99X;0;+;07;;;99V22;;;;;;;;;99V35;N;<1;805W
200D0711;G99X;0;+;23;;;99V22;23M04;;;;07X99;;;;99V35;N;<1;805W
200D0720;G99O;0;+;07;;;99V20;;;;;;;;;99V35;N;<1;805V
200D0721;G99O;0;+;23;;;99V20;23M04;;;;07X99;;;;99V35;N;<1;805V
200D0725;G99Z;0;+;07;;;40V42;;;;;;;;;99V35;N;<1;805T
200D0730;R98X;0;+;16;;;99V22;;;;;;;;;99V35;N;<1;863W
200D0731;R98X;0;+;23;;;99V22;23M04;;;;16X99;;;;99V35;N;<1;863W
200D0740;R98O;0;+;16;;;99V20;;;;;;;;;99V35;N;<1;863V
200D0741;R98O;0;+;23;;;99V20;23M04;;;;16X99;;;;99V35;N;<1;863V
200D0745;R98Z;0;+;16;;;40V42;;;;;;;;;99V35;N;<1;863T
200D0760;H76O;0;;;;;08V03;;;;;;;;;;N;<1;808V
200D077;M77O;0;;;;;11V02;;;;;;;;;;N;<1;839V
200D0780;M99X;0;+;11;;;99V22;;;;;;;;;99V35;N;<1;842W
200D0781;M99X;0;+;23;;;99V22;23M04;;;;11X99;;;;99V35;N;<1;842W
200D0790;M99O;0;+;11;;;99V20;;;;;;;;;99V35;N;<1;842V
200D0791;M99O;0;+;23;;;99V20;23M04;;;;11X99;;;;99V35;N;<1;842V
200D0795;M99Z;0;+;11;;;40V42;;;;;;;;;99V35;N;<1;842T
200D080;A81O;0;;;;;01V06;;;;;;;;;;N;<1;755V
200D0810;D99X;0;+;04;;;99V22;;;;;;;;;99V35;N;<1;781W
200D0811;D99X;0;+;23;;;99V22;23M04;;;;04X99;;;;99V35;N;<1;781W
200D0820;D99O;0;+;04;;;99V20;;;;;;;;;99V35;N;<1;781V
200D0821;D99O;0;+;23;;;99V20;23M04;;;;04X99;;;;99V35;N;<1;781V
200D0825;D99Z;0;+;04;;;40V42;;;;;;;;;99V35;N;<1;781T
200D083;X03O;0;;;;;40V26;;;;;;;;;;N;<1;913V
200D084;C78O;0;;;;;03V04;;;;;;;;;;N;<1;769V
200D0850;E99X;0;+;05;;;99V22;;;;;;;;;99V35;N;<1;795W
200D0851;E99X;0;+;23;;;99V22;23M04;;;;05X99;;;;99V35;N;<1;795W
200D0860;E99O;0;+;05;;;99V20;;;;;;;;;99V35;N;<1;795V
200D0861;E99O;0;+;23;;;99V20;23M04;;;;05X99;;;;99V35;N;<1;795V
200D0865;E99Z;0;+;05;;;40V42;;;;;;;;;99V35;N;<1;795T
200D088;H80O;0;;;;;08V07;;;;;;;;;;N;<1;812V
200D089;H82O;0;;;;;08V09;;;;;;;;;;N;<1;814V
200D090;H85O;0;;;;;08V12;;;;;;;;;;N;<1;817V
200D091;L80O;0;;;;;10V05;;;;;;;;;;N;<1;834V
200D093;O77O;0;;;;;13V04;;;;;;;;;;N;<1;848V
200D094;P23O;0;;;;;14V02;;;;;;;;;;N;<1;814P
200D0950;S99X;0;+;18;;;99V22;;;;;;;;;99V35;N;<1;875W
200D0951;S99X;0;+;23;;;99V22;23M04;;;;18X99;;;;99V35;N;<1;875W
200D0960;S99O;0;+;18;;;99V20;;;;;;;;;99V35;N;<1;875V
200D0961;S99O;0;+;23;;;99V20;23M04;;;;18X99;;;;99V35;N;<1;875V
200D0965;S99Z;0;+;18;;;40V42;;;;;;;;;99V35;N;<1;875T
200D0970;A99X;0;+;01;;;99V22;;;;;;;;;99V35;N;<1;758W
200D0971;A99X;0;+;23;;;99V22;23M04;;;;01X99;;;;99V35;N;<1;758W
200D0980;A99O;0;+;01;;;99V20;;;;;;;;;99V35;N;<1;758V
200D0981;A99O;0;+;23;;;99V20;23M04;;;;01X99;;;;99V35;N;<1;758V
200D0985;A99Z;0;+;01;;;40V42;;;;;;;;;99V35;N;<1;758T
200D099;E84O;0;;;;;05V10;;;;;;;;;;N;<1;791V
200D101;J76O;0;;;;;09V03;;;;;;;;;;N;<1;824V
200D102000;J77O;0;;;;;09V09;;;;;;;;;;N;<1;825W
200D102010;J77O;0;;;;;09V04;;;;;09X21;;;;;N;<1;825W
200D102990;J78O;0;;;;;09V04;;;;;;;;;;N;<1;825V
408D01201;H00N;0;+;08;;S;08S83;;;;;99X04;;;;;;;
200D1030;Q99X;0;+;15;;;99V22;;;;;;;;;99V35;N;<1;858W
200D1031;Q99X;0;+;23;;;99V22;23M04;;;;15X99;;;;99V35;N;<1;858W
200D1040;Q99O;0;+;15;;;99V20;;;;;;;;;99V35;N;<1;858V
200D1041;Q99O;0;+;23;;;99V20;23M04;;;;15X99;;;;99V35;N;<1;858V
200D1045;Q99Z;0;+;15;;;40V42;;;;;;;;;99V35;N;<1;858T
200D1050;K99X;0;+;30;;;99V22;;;;;;;;;99V35;N;<1;887W
200D1051;K99X;0;+;23;;;99V22;23M04;;;;30X99;;;;99V35;N;<1;887W
200D1060;K99O;0;+;30;;;99V20;;;;;;;;;99V35;N;<1;887V
200D1061;K99O;0;+;23;;;99V20;23M04;;;;30X99;;;;99V35;N;<1;887V
200D1065;K99Z;0;+;30;;;40V42;;;;;;;;;99V35;N;<1;887T
200D107;X35O;0;;;;;40V07;;;;;;;;;;N;<1;894V
200D109;X35O;0;;;;;40V15;;;;;;;;;04V03;N;<1;894V
200D1095;D75O;0;;;;;04V03;;;;;;;;;;N;<1;779V
200D110;X43O;0;;;;;40V14;;;;;;;;;;N;<1;901V
200D111;X71O;0;;;;;40V25;;;;;;;;;;N;<1;912V
200D112;A82O;0;;;;;01V07;;;;;;;;;;N;<1;756V
200D114;F79O;0;;;;;06V06;;;;;;;;;;N;<1;802V
200D1150;F99X;0;+;06;;;99V22;;;;;;;;;99V35;N;<1;803W
200D1151;F99X;0;+;23;;;99V22;23M04;;;;06X99;;;;99V35;N;<1;803W
200D1160;F99O;0;+;06;;;99V20;;;;;;;;;99V35;N;<1;803V
200D1161;F99O;0;+;23;;;99V20;23M04;;;;06X99;;;;99V35;N;<1;803V
200D1165;F99Z;0;+;06;;;40V42;;;;;;;;;99V35;N;<1;803T
200D117;L78O;0;;;;;10V03;;;;;;;;;;N;<1;832V
200D118;L81O;0;;;;;10V06;;;;;;;;;;N;<1;835V
200D1190;L99X;0;+;10;;;99V22;;;;;;;;;99V35;N;<1;836W
200D1191;L99X;0;+;23;;;99V22;23M04;;;;10X99;;;;99V35;N;<1;836W
200D1200;L99O;0;+;10;;;99V20;;;;;;;;;99V35;N;<1;836V
200D1201;L99O;0;+;23;;;99V20;23M04;;;;10X99;;;;99V35;N;<1;836V
200D1205;L99Z;0;+;10;;;40V42;;;;;;;;;99V35;N;<1;836T
200D122;T78O;0;;;;;19V05;;;;;;;;;;N;<1;878W
200D123;T76O;0;;;;;19V02;;;;;;;;;;N;<1;877V
200D1240;T99X;0;+;19;;;99V22;;;;;;;;;99V35;N;<1;880W
200D1241;T99X;0;+;23;;;99V22;23M04;;;;19X99;;;;99V35;N;<1;880W
200D1250;T99O;0;+;19;;;99V20;;;;;;;;;99V35;N;<1;880V
200D1251;T99O;0;+;23;;;99V20;23M04;;;;19X99;;;;99V35;N;<1;880V
200D1255;T99Z;0;+;19;;;40V42;;;;;;;;;99V35;N;<1;880T
200D126;M76O;0;;;;;11V03;;;;;;;;;;N;<1;840V
200D128;X47O;0;;;;;40V10;;;;;;;;;;N;<1;897V
200D129;X70O;0;;;;;40V20;;;;;;;;;;N;<1;907V
200D130;X61O;0;;;;;40V22;;;;;;;;;;N;<1;909V
200D132;C75O;0;;;;;03V01;;;;;;;;;;N;<1;766V
200D133;E83O;0;;;;;05V09;;;;;;;;;;N;<1;790V
200D134;X75O;0;;;;;19V01;;;;;;;;;;N;<1;876V
200D135;X36O;0;;;;;40V15;;;;;;;;;;N;<1;902V
200D136;X62O;0;;;;;40V21;;;;;;;;;;N;<1;908V
200D137;X63O;0;;;;;40V39;;;;;;;;;;N;<1;926V
200D1380;N99X;0;+;12;;;99V22;;;;;;;;;99V35;N;<1;845W
200D1381;N99X;0;+;23;;;99V22;23M04;;;M;12X99;;;;99V35;N;<1;845W
200D1382;N99X;0;+;23;;;99V22;23M04;;;M;98X99;;;;99V35;N;<1;845W
200D1390;N99O;0;+;12;;;99V20;;;;;;;;;99V35;N;<1;845V
