CODE;D_CODE;VARTYPE;VARVAL
A000;;COMPL;06C26
A000;;DGCAT;06M08
A000;;MDC;6
A000;;DGPROP;06X99
A000;;DGPROP;15X98
A001;;COMPL;06C26
A001;;DGCAT;06M08
A001;;MDC;6
A001;;DGPROP;06X99
A001;;DGPROP;15X98
A009;;COMPL;06C26
A009;;DGCAT;06M08
A009;;MDC;6
A009;;DGPROP;06X99
A009;;DGPROP;15X98
A010;;COMPL;06C26
A010;;DGCAT;18M99
A010;;MDC;18
A010;;DGPROP;18X99
A010;;DGPROP;15X98
A011;;COMPL;06C26
A011;;DGCAT;18M99
A011;;MDC;18
A011;;DGPROP;18X99
A011;;DGPROP;15X98
A012;;COMPL;06C26
A012;;DGCAT;18M99
A012;;MDC;18
A012;;DGPROP;18X99
A012;;DGPROP;15X98
A013;;COMPL;06C26
A013;;DGCAT;18M99
A013;;MDC;18
A013;;DGPROP;18X99
A013;;DGPROP;15X98
A014;;COMPL;06C26
A014;;DGCAT;18M99
A014;;MDC;18
A014;;DGPROP;18X99
A014;;DGPROP;15X98
A020;;COMPL;06C26
A020;;DGCAT;06M08
A020;;MDC;6
A020;;DGPROP;06X99
A020;;DGPROP;15X98
A021;;DGCAT;18M01
A021;;MDC;18
A021;;DGPROP;18X99
A021;;DGPROP;15X98
A021;;DGPROP;18X02
A021;;PDGPRO;18P01
A021;;COMPL;18G20
A022;;DGCAT;18M99
A022;;MDC;18
A022;;DGPROP;18X99
A022;;DGPROP;15X98
A022;;COMPL;18G20
A028;;COMPL;06C26
A028;;DGCAT;18M99
A028;;MDC;18
A028;;DGPROP;18X99
A028;;DGPROP;15X98
A028;;DGPROP;18X02
A029;;COMPL;06C26
A029;;DGCAT;18M99
A029;;MDC;18
A029;;DGPROP;18X99
A029;;DGPROP;15X98
A029;;DGPROP;18X02
A030;;COMPL;06C26
A030;;DGCAT;06M08
A030;;MDC;6
A030;;DGPROP;06X99
A030;;DGPROP;15X98
A031;;DGCAT;06M08
A031;;MDC;6
A031;;DGPROP;06X99
A031;;DGPROP;15X98
A032;;DGCAT;06M08
A032;;MDC;6
A032;;DGPROP;06X99
A032;;DGPROP;15X98
A033;;DGCAT;06M08
A033;;MDC;6
A033;;DGPROP;06X99
A033;;DGPROP;15X98
A038;;DGCAT;06M08
A038;;MDC;6
A038;;DGPROP;06X99
A038;;DGPROP;15X98
A039;;DGCAT;06M08
A039;;MDC;6
A039;;DGPROP;06X99
A039;;DGPROP;15X98
A040;;COMPL;06C26
A040;;DGCAT;06M08
A040;;MDC;6
A040;;DGPROP;06X99
A040;;DGPROP;15X98
A041;;COMPL;06C26
A041;;DGCAT;06M08
A041;;MDC;6
A041;;DGPROP;06X99
A041;;DGPROP;15X98
A042;;COMPL;06C26
A042;;DGCAT;06M08
A042;;MDC;6
A042;;DGPROP;06X99
A042;;DGPROP;15X98
A043;;COMPL;06C26
A043;;DGCAT;06M08
A043;;MDC;6
A043;;DGPROP;06X99
A043;;DGPROP;15X98
A044;;COMPL;06C26
A044;;DGCAT;06M08
A044;;MDC;6
A044;;DGPROP;06X99
A044;;DGPROP;15X98
A045;;COMPL;06C26
A045;;DGCAT;06M08
A045;;MDC;6
A045;;DGPROP;06X99
A045;;DGPROP;15X98
A046;;COMPL;06C26
A046;;DGCAT;06M08
A046;;MDC;6
A046;;DGPROP;06X99
A046;;DGPROP;15X98
A047;;DGCAT;06M08
A047;;MDC;6
A047;;DGPROP;06X99
A047;;DGPROP;15X98
A047;;COMPL;18G20
A048;;COMPL;06C26
A048;;DGCAT;06M08
A048;;MDC;6
A048;;DGPROP;06X99
A048;;DGPROP;15X98
A049;;COMPL;06C26
A049;;DGCAT;06M08
A049;;MDC;6
A049;;DGPROP;06X99
A049;;DGPROP;15X98
A050;;COMPL;06C26
A050;;DGCAT;06M08
A050;;MDC;6
A050;;DGPROP;06X99
A050;;DGPROP;15X98
A051;;COMPL;06C26
A051;;DGCAT;18M99
A051;;MDC;18
A051;;DGPROP;18X99
A051;;DGPROP;15X98
A052;;COMPL;06C26
A052;;DGCAT;06M08
A052;;MDC;6
A052;;DGPROP;06X99
A052;;DGPROP;15X98
A053;;COMPL;06C26
A053;;DGCAT;06M08
A053;;MDC;6
A053;;DGPROP;06X99
A053;;DGPROP;15X98
A054;;DGCAT;06M08
A054;;MDC;6
A054;;DGPROP;06X99
A054;;DGPROP;15X98
A058;;COMPL;06C26
A058;;DGCAT;06M08
A058;;MDC;6
A058;;DGPROP;06X99
A058;;DGPROP;15X98
A059;;DGCAT;06M08
A059;;MDC;6
A059;;DGPROP;06X99
A059;;DGPROP;15X98
A060;;COMPL;06C26
A060;;DGCAT;06M08
A060;;MDC;6
A060;;DGPROP;06X99
A060;;DGPROP;15X98
A061;;COMPL;06C26
A061;;DGCAT;06M08
A061;;MDC;6
A061;;DGPROP;06X99
A061;;DGPROP;15X98
A062;;COMPL;06C26
A062;;DGCAT;06M08
A062;;MDC;6
A062;;DGPROP;06X99
A062;;DGPROP;15X98
A063;;DGCAT;06M08
A063;;MDC;6
A063;;DGPROP;06X99
A063;;DGPROP;15X98
A064;;DGCAT;07M04
A064;;MDC;7
A064;;DGPROP;07X99
A064;;DGPROP;15X98
A064;;COMPL;07G10
A065;;DGCAT;04M08
A065;;MDC;4
A065;;DGPROP;04X99
A065;;DGPROP;15X98
A065;;COMPL;04G12
A066;;DGCAT;01M09
A066;;MDC;1
A066;;DGPROP;01X99
A066;;DGPROP;15X98
A066;;COMPL;01G35
A067;;DGCAT;09M99
A067;;MDC;9
A067;;DGPROP;09X99
A067;;DGPROP;15X98
A068;;COMPL;18C20
A068;;DGCAT;18M99
A068;;MDC;18
A068;;DGPROP;18X99
A068;;DGPROP;15X98
A069;;DGCAT;18M99
A069;;MDC;18
A069;;DGPROP;18X99
A069;;DGPROP;15X98
A070;;DGCAT;06M08
A070;;MDC;6
A070;;DGPROP;06X99
A070;;DGPROP;15X98
A071;;COMPL;06C26
A071;;DGCAT;06M08
A071;;MDC;6
A071;;DGPROP;06X99
A071;;DGPROP;15X98
A072;;COMPL;06C26
A072;;DGCAT;06M08
A072;;MDC;6
A072;;DGPROP;06X99
A072;;DGPROP;15X98
A073;;COMPL;06C26
A073;;DGCAT;06M08
A073;;MDC;6
A073;;DGPROP;06X99
A073;;DGPROP;15X98
A073;;DGPROP;18X02
A078;;COMPL;06C26
A078;;DGCAT;06M08
A078;;MDC;6
A078;;DGPROP;06X99
A078;;DGPROP;15X98
A079;;COMPL;06C26
A079;;DGCAT;06M08
A079;;MDC;6
A079;;DGPROP;06X99
A079;;DGPROP;15X98
A080;;DGCAT;06M08
A080;;MDC;6
A080;;DGPROP;06X99
A080;;DGPROP;15X98
A080;;COMPL;06G26
A081;;DGCAT;06M08
A081;;MDC;6
A081;;DGPROP;06X99
A081;;DGPROP;15X98
A081;;COMPL;06G26
A082;;COMPL;06C26
A082;;DGCAT;06M08
A082;;MDC;6
A082;;DGPROP;06X99
A082;;DGPROP;15X98
A083;;DGCAT;06M08
A083;;MDC;6
A083;;DGPROP;06X99
A083;;DGPROP;15X98
A083;;COMPL;06G26
A083A;;DGCAT;06M08
A083A;;MDC;6
A083A;;DGPROP;06X99
A083A;;DGPROP;15X98
A083A;;COMPL;06G26
A083B;;DGCAT;06M08
A083B;;MDC;6
A083B;;DGPROP;06X99
A083B;;DGPROP;15X98
A083B;;COMPL;06G26
A083W;;DGCAT;06M08
A083W;;MDC;6
A083W;;DGPROP;06X99
A083W;;DGPROP;15X98
A083W;;COMPL;06G26
A084;;DGCAT;06M08
A084;;MDC;6
A084;;DGPROP;06X99
A084;;DGPROP;15X98
A085;;DGCAT;06M08
A085;;MDC;6
A085;;DGPROP;06X99
A085;;DGPROP;15X98
A085;;PDGPRO;18P01
A09;;DGCAT;06M08
A09;;MDC;6
A09;;DGPROP;06X99
A09;;DGPROP;15X98
A09;;PDGPRO;18P01
A090;;DGCAT;06M08
A090;;MDC;6
A090;;DGPROP;06X99
A090;;DGPROP;15X98
A090;;PDGPRO;18P01
A099;;DGCAT;06M08
A099;;MDC;6
A099;;DGPROP;06X99
A099;;DGPROP;15X98
A099;;PDGPRO;18P01
A150;;DGCAT;04M02
A150;;MDC;4
A150;;DGPROP;04X99
A150;;DGPROP;15X36
A150;;DGPROP;18X02
A150;;PDGPRO;18P01
A150;;COMPL;04G02
A151;;COMPL;04C02
A151;;DGCAT;04M02
A151;;MDC;4
A151;;DGPROP;04X99
A151;;DGPROP;15X36
A151;;DGPROP;18X02
A151;;PDGPRO;18P01
A152;;COMPL;04C02
A152;;DGCAT;04M02
A152;;MDC;4
A152;;DGPROP;04X99
A152;;DGPROP;15X36
A152;;DGPROP;18X02
A152;;PDGPRO;18P01
A153;;COMPL;04C02
A153;;DGCAT;04M02
A153;;MDC;4
A153;;DGPROP;04X99
A153;;DGPROP;15X36
A153;;DGPROP;18X02
A153;;PDGPRO;18P01
A154;;COMPL;04C02
A154;;DGCAT;04M02
A154;;MDC;4
A154;;DGPROP;04X99
A154;;DGPROP;15X36
A154;;DGPROP;18X02
A154;;PDGPRO;18P01
A155;;COMPL;04C02
A155;;DGCAT;04M02
A155;;MDC;4
A155;;DGPROP;04X99
A155;;DGPROP;15X36
A155;;DGPROP;18X02
A155;;PDGPRO;18P01
A156;;COMPL;04C02
A156;;DGCAT;04M02
A156;;MDC;4
A156;;DGPROP;04X99
A156;;DGPROP;15X36
A156;;DGPROP;18X02
A156;;PDGPRO;18P01
A157;;COMPL;04C02
A157;;DGCAT;04M02
A157;;MDC;4
A157;;DGPROP;04X99
A157;;DGPROP;15X36
A157;;DGPROP;18X02
A157;;PDGPRO;18P01
A158;;COMPL;04C02
A158;;DGCAT;04M02
A158;;MDC;4
A158;;DGPROP;04X99
A158;;DGPROP;15X36
A158;;DGPROP;18X02
A158;;PDGPRO;18P01
A159;;COMPL;04C02
A159;;DGCAT;04M02
A159;;MDC;4
A159;;DGPROP;04X99
A159;;DGPROP;15X36
A159;;DGPROP;18X02
A159;;PDGPRO;18P01
A160;;COMPL;04C02
A160;;DGCAT;04M02
A160;;MDC;4
A160;;DGPROP;04X99
A160;;DGPROP;15X36
A160;;DGPROP;18X02
A160;;PDGPRO;18P01
A161;;COMPL;04C02
A161;;DGCAT;04M02
A161;;MDC;4
A161;;DGPROP;04X99
A161;;DGPROP;15X36
A161;;DGPROP;18X02
A161;;PDGPRO;18P01
A162;;COMPL;04C02
A162;;DGCAT;04M02
A162;;MDC;4
A162;;DGPROP;04X99
A162;;DGPROP;15X36
A162;;DGPROP;18X02
A162;;PDGPRO;18P01
A163;;COMPL;04C02
A163;;DGCAT;04M02
A163;;MDC;4
A163;;DGPROP;04X99
A163;;DGPROP;15X36
A163;;DGPROP;18X02
A163;;PDGPRO;18P01
A164;;COMPL;04C02
A164;;DGCAT;04M02
A164;;MDC;4
A164;;DGPROP;04X99
A164;;DGPROP;15X36
A164;;DGPROP;18X02
A164;;PDGPRO;18P01
A165;;COMPL;04C02
A165;;DGCAT;04M02
A165;;MDC;4
A165;;DGPROP;04X99
A165;;DGPROP;15X36
A165;;DGPROP;18X02
A165;;PDGPRO;18P01
A167;;COMPL;04C02
A167;;DGCAT;04M02
A167;;MDC;4
A167;;DGPROP;04X99
A167;;DGPROP;15X36
A167;;DGPROP;18X02
A167;;PDGPRO;18P01
A168;;COMPL;04C02
A168;;DGCAT;04M02
A168;;MDC;4
A168;;DGPROP;04X99
A168;;DGPROP;15X36
A168;;DGPROP;18X02
A168;;PDGPRO;00P11
A168;;PDGPRO;18P01
A169;;COMPL;04C02
A169;;DGCAT;04M02
A169;;MDC;4
A169;;DGPROP;04X99
A169;;DGPROP;15X36
A169;;DGPROP;18X02
A169;;PDGPRO;00P11
A169;;PDGPRO;18P01
A170;;DGCAT;01M09
A170;;MDC;1
A170;;DGPROP;01X99
A170;;DGPROP;15X36
A170;;DGPROP;18X02
A170;;PDGPRO;18P01
A170;;COMPL;01G23
A171;;DGCAT;01M09
A171;;MDC;1
A171;;DGPROP;01X99
A171;;DGPROP;15X36
A171;;DGPROP;18X02
A171;;PDGPRO;18P01
A171;;COMPL;01G23
A178;;DGCAT;01M09
A178;;MDC;1
A178;;DGPROP;01X99
A178;;DGPROP;15X36
A178;;DGPROP;18X02
A178;;PDGPRO;18P01
A178;;COMPL;01G23
A179;;DGCAT;01M09
A179;;MDC;1
A179;;DGPROP;01X99
A179;;DGPROP;15X36
A179;;DGPROP;18X02
A179;;PDGPRO;18P01
A179;;COMPL;01G23
A180;;DGCAT;08M99
A180;;MDC;8
A180;;DGPROP;08X99
A180;;DGPROP;15X36
A180;;DGPROP;18X02
A180;;PDGPRO;18P01
A180;;COMPL;18G18
A181;;COMPL;11C05
A181;;DGCAT;11M04
A181;;MDC;11
A181;;DGPROP;11X99
A181;;DGPROP;15X34
A181;;DGPROP;18X02
A181;;PDGPRO;18P01
A182;;COMPL;18C18
A182;;DGCAT;16M99
A182;;MDC;16
A182;;DGPROP;16X99
A182;;DGPROP;15X36
A182;;DGPROP;18X02
A182;;PDGPRO;18P01
A183;;DGCAT;06M99
A183;;MDC;6
A183;;DGPROP;06X99
A183;;DGPROP;15X34
A183;;DGPROP;18X02
A183;;PDGPRO;18P01
A183;;COMPL;06G17
A184;;COMPL;18C18
A184;;DGCAT;09M99
A184;;MDC;9
A184;;DGPROP;09X99
A184;;DGPROP;09X03
A184;;DGPROP;15X36
A184;;DGPROP;18X02
A184;;PDGPRO;18P01
A184C;;COMPL;18C18
A184C;;DGCAT;09M99
A184C;;MDC;9
A184C;;DGPROP;09X99
A184C;;DGPROP;09X03
A184C;;DGPROP;15X36
A184C;;DGPROP;18X02
A184C;;PDGPRO;18P01
A184D;;COMPL;18C18
A184D;;DGCAT;09M99
A184D;;MDC;9
A184D;;DGPROP;09X99
A184D;;DGPROP;09X03
A184D;;DGPROP;15X36
A184D;;DGPROP;18X02
A184D;;PDGPRO;18P01
A184E;;COMPL;18C18
A184E;;DGCAT;09M99
A184E;;MDC;9
A184E;;DGPROP;09X99
A184E;;DGPROP;09X03
A184E;;DGPROP;15X36
A184E;;DGPROP;18X02
A184E;;PDGPRO;18P01
A184F;;COMPL;18C18
A184F;;DGCAT;09M99
A184F;;MDC;9
A184F;;DGPROP;09X99
A184F;;DGPROP;09X03
A184F;;DGPROP;15X36
A184F;;DGPROP;18X02
A184F;;PDGPRO;18P01
A184G;;COMPL;18C18
A184G;;DGCAT;09M99
A184G;;MDC;9
A184G;;DGPROP;09X99
A184G;;DGPROP;09X03
A184G;;DGPROP;15X36
A184G;;DGPROP;18X02
A184G;;PDGPRO;18P01
A184H;;COMPL;18C18
A184H;;DGCAT;09M99
A184H;;MDC;9
A184H;;DGPROP;09X99
A184H;;DGPROP;09X03
A184H;;DGPROP;15X36
A184H;;DGPROP;18X02
A184H;;PDGPRO;18P01
A184J;;COMPL;18C18
A184J;;DGCAT;09M99
A184J;;MDC;9
A184J;;DGPROP;09X99
A184J;;DGPROP;09X03
A184J;;DGPROP;15X36
A184J;;DGPROP;18X02
A184J;;PDGPRO;18P01
A184K;;COMPL;18C18
A184K;;DGCAT;09M99
A184K;;MDC;9
A184K;;DGPROP;09X99
A184K;;DGPROP;09X03
A184K;;DGPROP;15X36
A184K;;DGPROP;18X02
A184K;;PDGPRO;18P01
A184L;;COMPL;18C18
A184L;;DGCAT;09M99
A184L;;MDC;9
A184L;;DGPROP;09X99
A184L;;DGPROP;09X03
A184L;;DGPROP;15X36
A184L;;DGPROP;18X02
A184L;;PDGPRO;18P01
A184X;;COMPL;18C18
A184X;;DGCAT;09M99
A184X;;MDC;9
A184X;;DGPROP;09X99
A184X;;DGPROP;09X03
A184X;;DGPROP;15X36
A184X;;DGPROP;18X02
A184X;;PDGPRO;18P01
A185;;COMPL;02C02
A185;;DGCAT;02M99
A185;;MDC;2
A185;;DGPROP;02X99
A185;;DGPROP;15X36
A185;;DGPROP;18X02
A185;;PDGPRO;18P01
A186;;COMPL;18C18
A186;;DGCAT;03M08
A186;;MDC;3
A186;;DGPROP;03X99
A186;;DGPROP;15X36
A186;;DGPROP;18X02
A186;;PDGPRO;18P01
A187;;COMPL;18C18
A187;;DGCAT;10M99
A187;;MDC;10
A187;;DGPROP;10X99
A187;;DGPROP;15X36
A187;;DGPROP;18X02
A187;;PDGPRO;18P01
A188;;COMPL;18C18
A188;;DGCAT;18M99
A188;;MDC;18
A188;;DGPROP;18X99
A188;;DGPROP;15X36
A188;;DGPROP;18X02
A188;;PDGPRO;18P01
A190;;COMPL;18C18
A190;;DGCAT;18M99
A190;;MDC;18
A190;;DGPROP;18X99
A190;;DGPROP;15X36
A190;;DGPROP;18X02
A190;;PDGPRO;18P01
A191;;COMPL;18C18
A191;;DGCAT;18M99
A191;;MDC;18
A191;;DGPROP;18X99
A191;;DGPROP;15X36
A191;;DGPROP;18X02
A191;;PDGPRO;18P01
A192;;DGCAT;18M99
A192;;MDC;18
A192;;DGPROP;18X99
A192;;DGPROP;15X36
A192;;DGPROP;18X02
A192;;PDGPRO;18P01
A192;;COMPL;18G18
A198;;DGCAT;18M99
A198;;MDC;18
A198;;DGPROP;18X99
A198;;DGPROP;15X36
A198;;DGPROP;18X02
A198;;PDGPRO;18P01
A198;;COMPL;18G18
A199;;DGCAT;18M99
A199;;MDC;18
A199;;DGPROP;18X99
A199;;DGPROP;15X36
A199;;DGPROP;18X02
A199;;PDGPRO;18P01
A199;;COMPL;18G18
A200;;DGCAT;18M99
A200;;MDC;18
A200;;DGPROP;18X99
A200;;DGPROP;15X98
A200;;COMPL;18G20
A201;;DGCAT;18M99
A201;;MDC;18
A201;;DGPROP;18X99
A201;;DGPROP;15X98
A201;;COMPL;18G20
A202;;DGCAT;04M02
A202;;MDC;4
A202;;DGPROP;04X99
A202;;DGPROP;15X98
A202;;COMPL;04G01
A203;;DGCAT;01M09
A203;;MDC;1
A203;;DGPROP;01X99
A203;;DGPROP;15X98
A207;;DGCAT;18M01
A207;;MDC;18
A207;;DGPROP;18X99
A207;;DGPROP;15X98
A207;;COMPL;18G20
A208;;DGCAT;18M99
A208;;MDC;18
A208;;DGPROP;18X99
A208;;DGPROP;15X98
A208;;COMPL;18G20
A209;;DGCAT;18M99
A209;;MDC;18
A209;;DGPROP;18X99
A209;;DGPROP;15X98
A209;;COMPL;18G20
A210;;COMPL;18C90
A210;;DGCAT;18M99
A210;;MDC;18
A210;;DGPROP;18X99
A210;;DGPROP;15X98
A211;;COMPL;18C90
A211;;DGCAT;18M99
A211;;MDC;18
A211;;DGPROP;18X99
A211;;DGPROP;15X98
A212;;COMPL;04C01
A212;;DGCAT;04M02
A212;;MDC;4
A212;;DGPROP;04X99
A212;;DGPROP;15X98
A213;;COMPL;18C90
A213;;DGCAT;06M99
A213;;MDC;6
A213;;DGPROP;06X99
A213;;DGPROP;15X98
A217;;DGCAT;18M99
A217;;MDC;18
A217;;DGPROP;18X99
A217;;DGPROP;15X98
A218;;COMPL;18C90
A218;;DGCAT;18M99
A218;;MDC;18
A218;;DGPROP;18X99
A218;;DGPROP;15X98
A219;;COMPL;18C90
A219;;DGCAT;18M99
A219;;MDC;18
A219;;DGPROP;18X99
A219;;DGPROP;15X98
A220;;COMPL;18C90
A220;;DGCAT;09M99
A220;;MDC;9
A220;;DGPROP;09X99
A220;;DGPROP;15X98
A221;;DGCAT;04M02
A221;;MDC;4
A221;;DGPROP;04X99
A221;;DGPROP;15X98
A221;;COMPL;04G01
A222;;COMPL;18C90
A222;;DGCAT;06M99
A222;;MDC;6
A222;;DGPROP;06X99
A222;;DGPROP;15X98
A227;;DGCAT;18M01
A227;;MDC;18
A227;;DGPROP;18X99
A227;;DGPROP;15X98
A227;;COMPL;18G20
A228;;COMPL;18C90
A228;;DGCAT;18M99
A228;;MDC;18
A228;;DGPROP;18X99
A228;;DGPROP;15X98
A229;;COMPL;18C90
A229;;DGCAT;18M99
A229;;MDC;18
A229;;DGPROP;18X99
A229;;DGPROP;15X98
A230;;DGCAT;18M99
A230;;MDC;18
A230;;DGPROP;18X99
A230;;DGPROP;15X98
A231;;DGCAT;18M99
A231;;MDC;18
A231;;DGPROP;18X99
A231;;DGPROP;15X98
A232;;DGCAT;18M99
A232;;MDC;18
A232;;DGPROP;18X99
A232;;DGPROP;15X98
A233;;DGCAT;18M99
A233;;MDC;18
A233;;DGPROP;18X99
A233;;DGPROP;15X98
A238;;COMPL;18C90
A238;;DGCAT;18M99
A238;;MDC;18
A238;;DGPROP;18X99
A238;;DGPROP;15X98
A239;;COMPL;18C90
A239;;DGCAT;18M99
A239;;MDC;18
A239;;DGPROP;18X99
A239;;DGPROP;15X98
A240;;COMPL;18C90
A240;;DGCAT;18M99
A240;;MDC;18
A240;;DGPROP;18X99
A240;;DGPROP;15X98
A241;;DGCAT;18M99
A241;;MDC;18
A241;;DGPROP;18X99
A241;;DGPROP;15X98
A242;;DGCAT;18M99
A242;;MDC;18
A242;;DGPROP;18X99
A242;;DGPROP;15X98
A243;;COMPL;18C90
A243;;DGCAT;18M99
A243;;MDC;18
A243;;DGPROP;18X99
A243;;DGPROP;15X98
A244;;DGCAT;18M99
A244;;MDC;18
A244;;DGPROP;18X99
A244;;DGPROP;15X98
A250;;COMPL;18C90
A250;;DGCAT;18M99
A250;;MDC;18
A250;;DGPROP;18X99
A250;;DGPROP;15X98
A251;;COMPL;18C90
A251;;DGCAT;18M99
A251;;MDC;18
A251;;DGPROP;18X99
A251;;DGPROP;15X98
A259;;COMPL;18C90
A259;;DGCAT;18M99
A259;;MDC;18
A259;;DGPROP;18X99
A259;;DGPROP;15X98
A260;;DGCAT;09M06
A260;;MDC;9
A260;;DGPROP;09X99
A260;;DGPROP;15X98
A267;;DGCAT;18M99
A267;;MDC;18
A267;;DGPROP;18X99
A267;;DGPROP;15X98
A268;;DGCAT;18M99
A268;;MDC;18
A268;;DGPROP;18X99
A268;;DGPROP;15X98
A269;;DGCAT;18M99
A269;;MDC;18
A269;;DGPROP;18X99
A269;;DGPROP;15X98
A270;;COMPL;18C90
A270;;DGCAT;18M99
A270;;MDC;18
A270;;DGPROP;18X99
A270;;DGPROP;15X98
A278;;DGCAT;01M09
A278;;MDC;1
A278;;DGPROP;01X99
A278;;DGPROP;15X98
A278;;COMPL;18G20
A279;;COMPL;18C90
A279;;DGCAT;18M99
A279;;MDC;18
A279;;DGPROP;18X99
A279;;DGPROP;15X98
A280;;COMPL;18C90
A280;;DGCAT;18M99
A280;;MDC;18
A280;;DGPROP;18X99
A280;;DGPROP;15X98
A281;;COMPL;18C90
A281;;DGCAT;16M99
A281;;MDC;16
A281;;DGPROP;16X99
A281;;DGPROP;15X98
A282;;DGCAT;18M99
A282;;MDC;18
A282;;DGPROP;18X99
A282;;DGPROP;15X98
A288;;COMPL;18C90
A288;;DGCAT;18M99
A288;;MDC;18
A288;;DGPROP;18X99
A288;;DGPROP;15X98
A289;;COMPL;18C90
A289;;DGCAT;18M99
A289;;MDC;18
A289;;DGPROP;18X99
A289;;DGPROP;15X98
A300;;COMPL;18C90
A300;;DGCAT;18M99
A300;;MDC;18
A300;;DGPROP;18X99
A300;;DGPROP;15X98
A301;;COMPL;18C90
A301;;DGCAT;18M99
A301;;MDC;18
A301;;DGPROP;18X99
A301;;DGPROP;15X98
A302;;DGCAT;18M99
A302;;MDC;18
A302;;DGPROP;18X99
A302;;DGPROP;15X98
A303;;COMPL;18C90
A303;;DGCAT;18M99
A303;;MDC;18
A303;;DGPROP;18X99
A303;;DGPROP;15X98
A304;;DGCAT;18M99
A304;;MDC;18
A304;;DGPROP;18X99
A304;;DGPROP;15X98
A305;;COMPL;18C90
A305;;DGCAT;18M99
A305;;MDC;18
A305;;DGPROP;18X99
A305;;DGPROP;15X98
A308;;COMPL;18C90
A308;;DGCAT;18M99
A308;;MDC;18
A308;;DGPROP;18X99
A308;;DGPROP;15X98
A309;;COMPL;18C90
A309;;DGCAT;18M99
A309;;MDC;18
A309;;DGPROP;18X99
A309;;DGPROP;15X98
A310;;DGCAT;04M02
A310;;MDC;4
A310;;DGPROP;04X99
A310;;DGPROP;15X98
A310;;COMPL;04G20
A311;;COMPL;18C18
A311;;DGCAT;09M99
A311;;MDC;9
A311;;DGPROP;09X99
A311;;DGPROP;15X98
A318;;COMPL;18C18
A318;;DGCAT;18M99
A318;;MDC;18
A318;;DGPROP;18X99
A318;;DGPROP;15X98
A318;;DGPROP;18X02
A318;;PDGPRO;18P01
A319;;COMPL;18C18
A319;;DGCAT;18M99
A319;;MDC;18
A319;;DGPROP;18X99
A319;;DGPROP;15X98
A319;;DGPROP;18X02
A319;;PDGPRO;18P01
A320;;DGCAT;18M99
A320;;MDC;18
A320;;DGPROP;18X99
A320;;DGPROP;15X98
A321;;DGCAT;01M09
A321;;MDC;1
A321;;DGPROP;01X99
A321;;DGPROP;15X98
A327;;DGCAT;18M99
A327;;MDC;18
A327;;DGPROP;18X99
A327;;DGPROP;15X98
A328;;COMPL;18C90
A328;;DGCAT;18M99
A328;;MDC;18
A328;;DGPROP;18X99
A328;;DGPROP;15X98
A329;;DGCAT;18M99
A329;;MDC;18
A329;;DGPROP;18X99
A329;;DGPROP;15X98
A33;;DGCAT;15M99
A33;;MDC;15
A33;;DGPROP;15X99
A33;;DGPROP;15X36
A33;;COMPL;15G01
A339;;DGCAT;15M99
A339;;MDC;15
A339;;DGPROP;15X99
A339;;DGPROP;15X36
A339;;COMPL;15G01
A34;;COMPL;14C05
A34;;DGCAT;14M99
A34;;MDC;14
A34;;DGPROP;14X99
A34;;DGPROP;14X04
A34;;DGPROP;14X11
A349;;COMPL;14C05
A349;;DGCAT;14M99
A349;;MDC;14
A349;;DGPROP;14X99
A349;;DGPROP;14X04
A349;;DGPROP;14X11
A35;;DGCAT;18M99
A35;;MDC;18
A35;;DGPROP;18X99
A35;;DGPROP;15X98
A35;;COMPL;18G19
A359;;DGCAT;18M99
A359;;MDC;18
A359;;DGPROP;18X99
A359;;DGPROP;15X98
A359;;COMPL;18G19
A360;;COMPL;18C90
A360;;DGCAT;03M08
A360;;MDC;3
A360;;DGPROP;03X99
A360;;DGPROP;15X98
A360;;PDGPRO;00P11
A361;;COMPL;18C90
A361;;DGCAT;03M08
A361;;MDC;3
A361;;DGPROP;03X99
A361;;DGPROP;15X98
A361;;PDGPRO;00P11
A362;;COMPL;18C90
A362;;DGCAT;03M08
A362;;MDC;3
A362;;DGPROP;03X99
A362;;DGPROP;15X98
A362;;PDGPRO;00P11
A363;;COMPL;18C90
A363;;DGCAT;09M99
A363;;MDC;9
A363;;DGPROP;09X99
A363;;DGPROP;15X98
A368;;COMPL;18C90
A368;;DGCAT;18M99
A368;;MDC;18
A368;;DGPROP;18X99
A368;;DGPROP;15X98
A369;;COMPL;18C90
A369;;DGCAT;18M99
A369;;MDC;18
A369;;DGPROP;18X99
A369;;DGPROP;15X98
A370;;COMPL;18C90
A370;;DGCAT;04M11
A370;;MDC;4
A370;;DGPROP;04X99
A370;;DGPROP;15X98
A371;;COMPL;18C90
A371;;DGCAT;04M11
A371;;MDC;4
A371;;DGPROP;04X99
A371;;DGPROP;15X98
A378;;COMPL;18C90
A378;;DGCAT;04M11
A378;;MDC;4
A378;;DGPROP;04X99
A378;;DGPROP;15X98
A379;;COMPL;18C90
A379;;DGCAT;04M11
A379;;MDC;4
A379;;DGPROP;04X99
A379;;DGPROP;15X98
A38;;DGCAT;18M99
A38;;MDC;18
A38;;DGPROP;18X99
A38;;DGPROP;15X98
A389;;DGCAT;18M99
A389;;MDC;18
A389;;DGPROP;18X99
A389;;DGPROP;15X98
A390;;DGCAT;01M09
A390;;MDC;1
A390;;DGPROP;01X99
A390;;DGPROP;15X32
A390;;COMPL;01G25
A391;;DGCAT;18M01
