CODE;D_CODE;VARTYPE;VARVAL
Z383;;MDC;15
Z383;;DGPROP;15X99
Z384;;DGCAT;15M02
Z384;;MDC;15
Z384;;DGPROP;15X99
Z385;;DGCAT;15M02
Z385;;MDC;15
Z385;;DGPROP;15X99
Z386;;DGCAT;15M02
Z386;;MDC;15
Z386;;DGPROP;15X99
Z387;;DGCAT;15M02
Z387;;MDC;15
Z387;;DGPROP;15X99
Z388;;DGCAT;15M02
Z388;;MDC;15
Z388;;DGPROP;15X99
Z390;;DGCAT;14M99
Z390;;MDC;14
Z390;;DGPROP;14X99
Z390;;DGPROP;14X04
Z390A;;DGCAT;14M99
Z390A;;MDC;14
Z390A;;DGPROP;14X99
Z390A;;DGPROP;14X04
Z390B;;DGCAT;14M99
Z390B;;MDC;14
Z390B;;DGPROP;14X99
Z390B;;DGPROP;14X04
Z390C;;DGCAT;14M99
Z390C;;MDC;14
Z390C;;DGPROP;14X99
Z390C;;DGPROP;14X04
Z390D;;DGCAT;14M99
Z390D;;MDC;14
Z390D;;DGPROP;14X99
Z390D;;DGPROP;14X04
Z390W;;DGCAT;14M99
Z390W;;MDC;14
Z390W;;DGPROP;14X99
Z390W;;DGPROP;14X04
Z390X;;DGCAT;14M99
Z390X;;MDC;14
Z390X;;DGPROP;14X99
Z390X;;DGPROP;14X04
Z391;;DGCAT;23M99
Z391;;MDC;23
Z391;;DGPROP;14X05
Z392;;DGCAT;14M99
Z392;;MDC;14
Z392;;DGPROP;14X99
Z392;;DGPROP;14X05
Z392A;;DGCAT;14M99
Z392A;;MDC;14
Z392A;;DGPROP;14X99
Z392A;;DGPROP;14X05
Z392B;;DGCAT;14M99
Z392B;;MDC;14
Z392B;;DGPROP;14X99
Z392B;;DGPROP;14X05
Z392C;;DGCAT;14M99
Z392C;;MDC;14
Z392C;;DGPROP;14X99
Z392C;;DGPROP;14X05
Z392D;;DGCAT;14M99
Z392D;;MDC;14
Z392D;;DGPROP;14X99
Z392D;;DGPROP;14X05
Z392W;;DGCAT;14M99
Z392W;;MDC;14
Z392W;;DGPROP;14X99
Z392W;;DGPROP;14X05
Z392X;;DGCAT;14M99
Z392X;;MDC;14
Z392X;;DGPROP;14X99
Z392X;;DGPROP;14X05
Z400;;DGCAT;23M99
Z400;;MDC;23
Z400;;PDGPRO;30P01
Z408;;DGCAT;23M99
Z408;;MDC;23
Z409;;DGCAT;23M99
Z409;;MDC;23
Z410;;DGCAT;09M99
Z410;;MDC;9
Z410;;DGPROP;09X99
Z411;;DGCAT;09M99
Z411;;MDC;9
Z411;;DGPROP;09X99
Z411;;DGPROP;30X02
Z412;;DGCAT;12M03
Z412;;MDC;12
Z412;;DGPROP;12X99
Z412;;OR;1
Z412;;PROCPR;12S05
Z413;;DGCAT;09M99
Z413;;MDC;9
Z413;;DGPROP;09X99
Z418;;DGCAT;23M99
Z418;;MDC;23
Z419;;DGCAT;23M99
Z419;;MDC;23
Z420;;DGCAT;09M99
Z420;;MDC;9
Z420;;DGPROP;09X99
Z421;;DGCAT;30M05
Z421;;MDC;30
Z421;;DGPROP;30X99
Z422;;DGCAT;09M99
Z422;;MDC;9
Z422;;DGPROP;09X99
Z423;;DGCAT;09M99
Z423;;MDC;9
Z423;;DGPROP;09X99
Z424;;DGCAT;09M99
Z424;;MDC;9
Z424;;DGPROP;09X99
Z428;;DGCAT;09M99
Z428;;MDC;9
Z428;;DGPROP;09X99
Z429;;DGCAT;09M99
Z429;;MDC;9
Z429;;DGPROP;09X99
Z430;;DGCAT;04M99
Z430;;MDC;4
Z430;;DGPROP;04X99
Z431;;DGCAT;06M99
Z431;;MDC;6
Z431;;DGPROP;06X99
Z432;;DGCAT;06M99
Z432;;MDC;6
Z432;;DGPROP;06X99
Z433;;DGCAT;06M99
Z433;;MDC;6
Z433;;DGPROP;06X99
Z434;;DGCAT;06M99
Z434;;MDC;6
Z434;;DGPROP;06X99
Z435;;DGCAT;11M99
Z435;;MDC;11
Z435;;DGPROP;11X99
Z436;;DGCAT;11M99
Z436;;MDC;11
Z436;;DGPROP;11X99
Z437;;DGCAT;13M99
Z437;;MDC;13
Z437;;DGPROP;13X99
Z438;;DGCAT;23M99
Z438;;MDC;23
Z439;;DGCAT;23M99
Z439;;MDC;23
Z440;;DGCAT;08M13
Z440;;MDC;8
Z440;;DGPROP;08X99
Z440;;PDGPRO;23P10
Z441;;DGCAT;08M13
Z441;;MDC;8
Z441;;DGPROP;08X99
Z441;;PDGPRO;23P10
Z442;;DGCAT;02M99
Z442;;MDC;2
Z442;;DGPROP;02X99
Z443;;DGCAT;23M99
Z443;;MDC;23
Z448;;DGCAT;23M01
Z448;;MDC;23
Z449;;DGCAT;23M01
Z449;;MDC;23
Z450;;DGCAT;05M99
Z450;;MDC;5
Z450;;DGPROP;05X99
Z451;;DGCAT;23M99
Z451;;MDC;23
Z452;;DGCAT;23M99
Z452;;MDC;23
Z453;;DGCAT;03M99
Z453;;MDC;3
Z453;;DGPROP;03X99
Z458;;DGCAT;23M99
Z458;;MDC;23
Z459;;DGCAT;23M99
Z459;;MDC;23
Z460;;DGCAT;02M99
Z460;;MDC;2
